# dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
4.189013037830591202e-03,9.143356233835220337e-03,4.030859097838401794e-03,-1.772912801243364811e-04,-2.869029529392719269e-03,-2.507726661860942841e-03,-1.151612587273120880e-02,1.068211719393730164e-02,2.383012790232896805e-03,-7.126648910343647003e-03,8.573397062718868256e-04,-2.276198193430900574e-02,5.299927201122045517e-03,-4.155835136771202087e-03,-4.696984775364398956e-03,1.480610668659210205e-02,-3.800727427005767822e-06,-7.710569500923156738e-01,-6.282278336584568024e-03,-2.794435713440179825e-03,-8.125565946102142334e-04,3.906563855707645416e-03,1.018622145056724548e-02,4.441216588020324707e-03,-3.351859748363494873e-03,-4.450637847185134888e-03,-5.824012681841850281e-03,-3.345640376210212708e-03,-7.223729044198989868e-04,6.696902681142091751e-03,-6.891824305057525635e-04,2.859586849808692932e-03
3.154140431433916092e-03,1.038948073983192444e-02,8.435821160674095154e-03,6.070462404750287533e-04,1.833210582844913006e-03,-1.439091749489307404e-03,-1.547728665173053741e-02,1.741930097341537476e-02,1.362791866995394230e-03,-8.527230471372604370e-03,-1.364244613796472549e-03,-2.145863696932792664e-02,1.953490078449249268e-03,-3.267743391916155815e-03,-1.652446575462818146e-03,1.828714460134506226e-02,-3.308048471808433533e-04,-1.091240406036376953e+00,-3.747918410226702690e-03,-1.804581377655267715e-03,-9.793872013688087463e-04,5.216010846197605133e-03,1.495565846562385559e-02,6.080143153667449951e-03,-5.584549158811569214e-03,-6.802558898925781250e-03,-1.458326354622840881e-02,-3.956826403737068176e-03,3.886874765157699585e-04,7.577740121632814407e-03,-2.968683838844299316e-05,1.750053837895393372e-03
1.869060564786195755e-03,8.176896721124649048e-03,7.853737100958824158e-03,-1.784502528607845306e-03,8.378875209018588066e-04,-6.970083341002464294e-04,-1.154106482863426208e-02,2.039458416402339935e-02,2.610365394502878189e-03,-7.372246123850345612e-03,-9.633735753595829010e-04,-2.442568913102149963e-02,2.194484695792198181e-03,-2.314667915925383568e-03,-4.920903593301773071e-04,2.028266340494155884e-02,2.309487201273441315e-03,-7.703921794891357422e-01,-4.221634007990360260e-03,-3.843589220196008682e-03,-1.678152941167354584e-03,4.762143827974796295e-03,8.672710508108139038e-03,5.950883030891418457e-03,-5.148480646312236786e-03,-4.483146592974662781e-03,-7.726698648184537888e-03,-4.868173971772193909e-03,-9.444449096918106079e-04,7.065780926495790482e-03,-3.093313425779342651e-03,4.204401746392250061e-03
4.393555689603090286e-03,9.372521191835403442e-03,6.641609594225883484e-03,-2.198392525315284729e-03,-1.378198270685970783e-03,-1.939463429152965546e-03,-9.505301713943481445e-03,-6.104512140154838562e-03,2.745304722338914871e-03,-7.305450737476348877e-03,-1.237823162227869034e-03,-1.919024810194969177e-02,2.004675567150115967e-03,-1.756048528477549553e-03,-5.722977221012115479e-04,2.032375335693359375e-02,1.358160516247153282e-03,-7.476384043693542480e-01,-4.426897503435611725e-03,-3.083492163568735123e-03,-4.995839670300483704e-03,5.096049048006534576e-03,9.926360100507736206e-03,6.230048835277557373e-03,-3.830924630165100098e-03,-5.896570160984992981e-03,-8.696783334016799927e-03,-1.905778422951698303e-03,1.351257786154747009e-03,5.231462884694337845e-03,-1.411903649568557739e-03,4.050770774483680725e-03
4.209895152598619461e-03,8.435789495706558228e-03,4.998041316866874695e-03,-1.355555839836597443e-03,-2.072592265903949738e-03,-8.757323957979679108e-04,-1.105911657214164734e-02,5.036238580942153931e-04,2.407415769994258881e-03,-1.048447657376527786e-02,-1.107467804104089737e-03,-1.628628745675086975e-02,3.306448925286531448e-03,-2.137595554813742638e-03,-1.828295178711414337e-03,2.962529659271240234e-03,1.926037482917308807e-03,-7.729195356369018555e-01,-5.779855884611606598e-03,-2.339276019483804703e-03,-2.006902359426021576e-03,3.414773382246494293e-03,1.061778515577316284e-02,5.138024687767028809e-03,-3.411754034459590912e-03,-4.862103611230850220e-03,-7.373812142759561539e-03,-4.516193643212318420e-03,-8.168164640665054321e-04,5.865686107426881790e-03,-3.199953585863113403e-03,4.046099260449409485e-03
6.490882951766252518e-03,8.789736777544021606e-03,6.442418321967124939e-03,-1.432402641512453556e-04,4.387748194858431816e-04,-2.886083908379077911e-03,-1.264943927526473999e-02,7.713554427027702332e-03,4.363151732832193375e-03,-6.843429990112781525e-03,-2.360180951654911041e-04,-2.049165591597557068e-02,3.504514694213867188e-03,-3.159362589940428734e-03,-5.898829549551010132e-04,9.571835398674011230e-03,2.443910576403141022e-03,-9.571980834007263184e-01,-5.024270154535770416e-03,-2.545426134020090103e-03,-1.597525551915168762e-04,3.147588111460208893e-03,1.146459206938743591e-02,5.295895040035247803e-03,-2.825455740094184875e-03,-3.696219995617866516e-03,-1.122300326824188232e-02,-6.236607208847999573e-03,9.519662708044052124e-04,5.477950442582368851e-03,-9.193830192089080811e-04,3.285491839051246643e-03
4.164275247603654861e-03,7.724527269601821899e-03,3.889387473464012146e-03,-1.973844133317470551e-03,3.840652061626315117e-04,-2.113205380737781525e-03,-1.231774874031543732e-02,4.034878686070442200e-03,3.085772972553968430e-03,-6.442315410822629929e-03,-2.837343607097864151e-03,-2.484567090868949890e-02,1.786162029020488262e-03,-3.415737068280577660e-03,-1.560891978442668915e-04,1.881042867898941040e-02,2.009092830121517181e-03,-7.865182161331176758e-01,-9.482733439654111862e-04,-3.802324179559946060e-03,1.186172477900981903e-03,5.002402700483798981e-03,1.044014841318130493e-02,5.653269588947296143e-03,-2.424560487270355225e-03,-5.699174478650093079e-03,-8.217561990022659302e-03,-8.447388187050819397e-03,1.102184876799583435e-03,6.150708068162202835e-03,-5.097527056932449341e-03,4.022227600216865540e-03
4.100587684661149979e-03,7.220391184091567993e-03,3.384670242667198181e-03,-9.917272254824638367e-04,-3.593047149479389191e-03,-9.821085259318351746e-04,-1.199685595929622650e-02,6.317900493741035461e-03,2.777108456939458847e-03,-7.458797655999660492e-03,4.441826604306697845e-04,-1.549265906214714050e-02,2.348971553146839142e-03,-4.988780245184898376e-03,-3.310733474791049957e-03,1.520676910877227783e-02,5.856966599822044373e-04,-7.305169701576232910e-01,-6.036401726305484772e-03,-3.178986255079507828e-03,-3.906860947608947754e-04,3.476508893072605133e-03,1.017436757683753967e-02,3.323532640933990479e-03,-3.095547668635845184e-03,-4.098171368241310120e-03,-5.549963098019361496e-03,-1.525769010186195374e-03,-1.024806872010231018e-03,5.973071325570344925e-03,-3.295712172985076904e-03,2.739505842328071594e-03
5.332088563591241837e-03,7.311958819627761841e-03,6.758389994502067566e-03,-1.640087924897670746e-03,1.763547654263675213e-03,1.105186529457569122e-03,-1.289831660687923431e-02,2.787242271006107330e-02,1.613495056517422199e-03,-8.357836864888668060e-03,-1.551164779812097549e-03,-1.920600607991218567e-02,-2.619141014292836189e-04,-3.677117405459284782e-03,-9.165210649371147156e-04,2.718827873468399048e-02,1.519533805549144745e-03,-7.823029160499572754e-01,-5.207859911024570465e-03,-2.180813346058130264e-03,-1.012296415865421295e-03,3.012382425367832184e-03,1.138894632458686829e-02,2.823702991008758545e-03,-3.455610945820808411e-03,-7.322891615331172943e-03,-1.020382903516292572e-02,-1.025306060910224915e-03,-2.386206761002540588e-03,5.803116131573915482e-03,-2.900026738643646240e-03,3.081206232309341431e-04
3.253859933465719223e-03,6.754834204912185669e-03,6.942866370081901550e-03,-8.882722468115389347e-04,-1.159656094387173653e-04,5.200328305363655090e-04,-1.288223825395107269e-02,1.855834387242794037e-02,2.143852412700653076e-03,-8.061313070356845856e-03,-3.240541554987430573e-04,-1.188009232282638550e-02,-1.610537292435765266e-04,-4.061213694512844086e-03,-1.042962074279785156e-03,2.925089001655578613e-02,1.015271060168743134e-03,-7.508780360221862793e-01,-4.769274033606052399e-03,-2.915369812399148941e-03,-5.186339840292930603e-04,2.942242659628391266e-03,1.103853061795234680e-02,3.975212574005126953e-03,-3.497238270938396454e-03,-4.366263747215270996e-03,-9.504184126853942871e-03,-2.608606591820716858e-03,-2.657715231180191040e-04,5.849406588822603226e-03,-2.601113170385360718e-03,8.526314049959182739e-04
